"67404","32689","10",,,"2015-09-18 09:35:11"
"32689","null","10",,,"2015-09-18 09:37:12"
"32689","null","10",,,"2015-09-18 09:37:19"
"43702","null","6",,,"2015-09-18 09:38:13"
"90734","26527","10","its friday","nothing yet keep it up","2015-09-18 09:39:46"
"26527","90734","10","ternary operator","finding mistakes in code","2015-09-18 09:39:59"
"26387","11637","10","Ternary operator",,"2015-09-18 09:45:45"
"80611","77114","10","Boolean expressions",,"2015-09-18 09:47:58"
"41546","49221","9",,,"2015-09-18 09:48:09"
"49221","41546","9",,,"2015-09-18 09:48:23"
"77114","80611","8","Debugging expressions ",,"2015-09-18 09:48:39"
"24963","45863","10","objects, ternary op",,"2015-09-18 09:49:52"
"33941","62658","8","loops and conditional statements","nothing :) ","2015-09-18 09:50:07"
"62658","null","8",,"Usage of s.substring(N,M) function","2015-09-18 09:50:36"
"45863","24963","9","Ternary Operators","s.substring(0,x) exluding the x character","2015-09-18 09:50:37"
"4254","74457","10",,,"2015-09-18 09:50:42"
"null","null","10",,,"2015-09-18 09:51:07"
"90673","72451","10","conditionals",,"2015-09-18 09:51:08"
"95697","null","9",,,"2015-09-18 09:51:08"
"61007","97982","10",,,"2015-09-18 09:51:12"
"97982","61007","10",,,"2015-09-18 09:51:14"
"16540","94812","10","everything!",,"2015-09-18 09:51:15"
"56892","30466","10",,,"2015-09-18 09:51:15"
"78657","23548","9","Loops and Strings",,"2015-09-18 09:51:15"
"8731","18584","7",,,"2015-09-18 09:51:16"
"13884","11637","10","the ternary operator",,"2015-09-18 09:51:17"
"33215","null","10",,,"2015-09-18 09:51:17"
"94812","16540","10",,,"2015-09-18 09:51:19"
"98945","35185","10",,,"2015-09-18 09:51:22"
"79622","29953","10","Ternary Operator, Blocks, String functions",,"2015-09-18 09:51:24"
"93408","null","10",,,"2015-09-18 09:51:25"
"29953","null","10","Syntax","None","2015-09-18 09:51:28"
"69931","96556","8","All of them","None of them","2015-09-18 09:51:29"
"12076","46877","8",,,"2015-09-18 09:51:31"
"38431","17034","10","Loops",,"2015-09-18 09:51:33"
